input,target
16.24,3.757667253120658
-6.12,12.795091464062203
-5.28,48.25722612662071
-10.73,47.81072888046921
8.65,33.77650157238137
-23.02,41.76956702923366
17.45,-14.373911699303367
-7.61,-6.556706906517536
3.19,21.334152477263366
-2.49,9.073167536961403
14.62,50.2533350790014
-20.6,-16.76915418586779
-3.22,15.338974520861392
-3.84,45.26146163264422
11.34,-0.8787203464458546
-11.0,49.30970129979646
-1.72,-7.371137863143395
-8.78,-5.851140262041756
0.42,22.71669381831689
5.83,0.7761385404740198
-11.01,48.70682651205046
11.45,-10.014654362303684
9.02,30.861347553049875
5.02,-11.528318736361214
9.01,35.69109522610176
-6.84,11.021215431740611
-1.23,-8.565908458916773
-9.36,28.17565365962424
-2.68,3.246073341472931
5.3,-8.014156987828986
-6.92,3.803556412188977
-3.97,40.70409556711369
-6.87,9.001802189895283
-8.45,-8.451106626480513
-6.71,13.983812600057071
-0.13,17.016158650099307
-11.17,62.86720412192379
2.34,39.593176188608346
16.6,-4.7497383952961005
7.42,48.40261102152411
-1.92,-19.56918694740241
-8.88,7.2040397194102574
-7.47,-5.879002465210521
16.92,-8.008158524854501
0.51,27.16940602992868
-6.37,9.625476662094957
1.91,51.69210790434533
21.0,51.39799697534971
1.2,56.397192122000405
6.17,12.075214281064245
3.0,19.15416024582595
-3.52,29.90794923560655
-11.43,37.78691305654612
-3.49,27.472738975243036
-2.09,-2.2205447950911843
5.87,15.923377321610454
8.39,47.622343844019674
9.31,31.693046445074952
2.86,30.525520737405895
8.85,37.541277531815695
-7.54,-9.868897468416822
12.53,19.820940814358554
5.13,-9.148844197991163
-2.98,14.3928453934926
4.89,-13.330191781867269
-0.76,0.28789592412818554
11.32,-8.838935328571832
15.2,27.43516001004089
21.86,22.78857467581176
-13.96,-14.302581827221406
-14.44,-19.352110622348107
-5.04,51.29782015557457
1.6,58.276994892765906
8.76,50.664973929191866
3.16,27.24860763854186
-20.22,-14.23989435102506
-3.06,23.39418437131179
8.28,53.37386019794478
2.3,32.80400897138997
7.62,53.978904170047926
-2.22,-1.1552469032006383
-2.01,-6.7952621814186305
1.87,50.584931264014784
4.1,-4.6674518874645115
1.98,56.141857636095196
1.19,46.305253501099585
-6.71,6.373812600057072
3.78,1.864524673863202
1.22,50.02253036773157
11.29,-18.007553060783195
11.99,10.317973100023863
1.85,50.44889369074665
-3.75,40.28262022164149
-6.39,17.738343339672706
4.23,-7.949620944546382
0.77,39.452124778134376
-3.44,29.446948528674813
0.44,33.751153684512985
-6.2,28.31422678593364
6.98,41.304234059185475
-4.47,48.93840376807779
12.25,20.440859673075614
4.03,-10.070083976194136
5.94,3.037105067015621
-10.95,52.23833099276141
1.69,49.22356135837062
7.41,38.672981109468644
-9.54,21.946501374394675
-2.66,2.322666419624473
0.33,35.54331236604348
-13.73,-11.116515946740044
3.15,24.993578955301967
8.46,47.36863512947886
-8.6,-3.4291114851604574
3.51,9.12603196610497
