input,target
16.24,-4.072332746879342
-6.12,25.245091464062202
-5.28,41.71722612662071
-10.73,47.97072888046921
8.65,40.04650157238137
-23.02,47.079567029233665
17.45,-12.873911699303367
-7.61,-9.146706906517537
3.19,15.514152477263368
-2.49,4.283167536961402
14.62,55.4833350790014
-20.6,-9.029154185867792
-3.22,23.238974520861394
-3.84,33.79146163264422
11.34,-5.238720346445854
-11.0,46.70970129979646
-1.72,-14.201137863143394
-8.78,4.458859737958243
0.42,33.346693818316886
5.83,12.186138540474019
-11.01,57.70682651205046
11.45,-10.104654362303684
9.02,32.651347553049874
5.02,-0.26831873636121273
9.01,37.12109522610176
-6.84,7.451215431740611
-1.23,-2.215908458916773
-9.36,15.00565365962424
-2.68,9.59607334147293
5.3,1.6658430121710124
-6.92,9.963556412188977
-3.97,38.44409556711369
-6.87,1.8518021898952826
-8.45,-3.331106626480512
-6.71,5.933812600057072
-0.13,14.086158650099307
-11.17,53.457204121923795
2.34,40.143176188608344
16.6,-12.6797383952961
7.42,49.482611021524114
-1.92,-10.779186947402412
-8.88,0.5340397194102575
-7.47,-16.109002465210523
16.92,-3.4881585248545015
0.51,23.74940602992868
-6.37,8.855476662094958
1.91,47.382107904345325
21.0,51.65799697534971
1.2,54.9771921220004
6.17,10.785214281064246
3.0,23.41416024582595
-3.52,23.71794923560655
-11.43,52.726913056546124
-3.49,23.03273897524304
-2.09,-7.200544795091184
5.87,12.913377321610454
8.39,45.11234384401968
9.31,30.843046445074954
2.86,24.125520737405893
8.85,38.431277531815695
-7.54,-4.738897468416823
12.53,18.190940814358555
5.13,-0.9488441979911642
-2.98,17.832845393492597
4.89,-18.210191781867266
-0.76,18.777895924128185
11.32,-5.668935328571832
15.2,35.37516001004089
21.86,16.99857467581176
-13.96,-9.612581827221405
-14.44,-11.412110622348106
-5.04,52.09782015557457
1.6,52.346994892765906
8.76,48.08497392919186
3.16,20.14860763854186
-20.22,-7.319894351025059
-3.06,19.37418437131179
8.28,47.033860197944776
2.3,41.824008971389965
7.62,55.17890417004792
-2.22,-0.3952469032006385
-2.01,-10.755262181418631
1.87,43.574931264014786
4.1,-5.297451887464511
1.98,53.7918576360952
1.19,48.17525350109958
-6.71,16.103812600057072
3.78,-2.055475326136798
1.22,49.35253036773157
11.29,-21.767553060783193
11.99,0.397973100023862
1.85,47.76889369074665
-3.75,39.98262022164148
-6.39,25.29834333967271
4.23,-6.849620944546382
0.77,48.50212477813437
-3.44,32.276948528674815
0.44,37.92115368451299
-6.2,20.204226785933642
6.98,46.49423405918548
-4.47,44.24840376807779
12.25,12.990859673075617
4.03,-8.430083976194135
5.94,7.147105067015621
-10.95,43.15833099276141
1.69,47.70356135837062
7.41,49.30298110946864
-9.54,23.166501374394674
-2.66,-0.8673335803755275
0.33,37.233312366043485
-13.73,-6.316515946740045
3.15,24.783578955301966
8.46,48.99863512947886
-8.6,-5.719111485160457
3.51,-0.7139680338950303
-13.12,-0.6162265559510178
-0.39,14.534253338743575
-16.16,28.052357304219303
11.21,-5.721512053993402
4.09,-7.840885643583521
-0.25,14.424179242737052
-7.75,-19.455262762890868
12.74,31.109127971384822
19.67,42.10918587971922
-18.58,32.55225432542618
12.36,14.700279058753097
16.28,7.478957523201165
3.38,12.28726271874464
-11.99,40.34202689997613
8.63,34.218096947776274
-1.81,-15.031572152580617
-6.04,30.974260466591854
-12.3,27.82856963665693
5.51,-2.441763311094511
7.93,49.51191585299815
-6.24,23.826742498866224
5.21,-9.771124539209792
-11.44,50.08716055597892
8.02,45.50064253413535
0.47,31.773031704061587
-1.87,-4.22493126401479
-1.02,-0.6292946694555708
8.69,34.9578839191617
7.5,52.798999291629535
5.29,-10.751969145035481
1.38,53.61653267635697
0.78,31.96002228561251
6.18,11.268429888579515
2.32,39.79305904292267
6.83,35.02905539682989
-3.1,25.85178979578464
-24.35,46.02937930640161
10.39,2.8036524645922443
21.87,29.715999523123585
4.41,-10.526147035636601
-1.0,-6.994865036640844
-1.36,-4.484870374277147
-1.19,-8.115253501099584
0.17,24.38006164654338
-11.22,43.05512324250075
-5.17,46.831870946914094
-9.97,21.86754246064398
2.49,36.2168324630386
-2.97,9.892069216990068
4.95,-6.183043616755534
-1.75,-12.401571379655078
9.86,5.49084157304654
2.14,52.4310781649177
21.91,17.222316050906795
-18.96,18.218299622971514
-6.47,4.855236310646674
9.01,32.74109522610176
25.28,26.525177365255598
-2.49,5.803167536961403
0.44,28.501153684512985
-2.26,-1.9384561916138394
13.31,42.23739138366997
-2.87,11.717885446646655
6.8,35.82045720972755
-3.2,24.100411374541192
-12.73,17.021544571886157
3.14,15.068575913952849
5.03,-14.954518159803207
12.93,43.377893402817946
-1.1,2.418175518126221
-6.17,16.484785718935754
5.63,3.714567366918434
2.41,43.51569559920297
2.81,33.68925470278558
-0.73,0.3604761323872132
11.6,-9.726272146545618
3.69,3.1894718941906017
19.05,23.612688398300545
11.11,-9.630545801833508
6.59,27.871720380315335
-16.27,35.59377716173732
6.02,17.155196511370697
4.2,-0.4330610586144399
8.11,43.59588043225975
10.44,-8.212729336101344
-4.01,39.330679974395736
